BIOBASE accession	HGNC	Illumina	
GN000058303	CA14	0004560685;ILMN_1742358	
GN000076655	PRDM14	ILMN_2163835	
GN000117386	TCHHL1	ILMN_1675808	
GN000005525	SIX6	0004150301;ILMN_1786631	
GN000085968	DEFB119	0000610047;ILMN_1725640;ILMN_1706838	
GN000076445	ZNF556	0003520148;ILMN_1917108;ILMN_1828732;ILMN_1704441	
GN000006594	MZF1	0006370402;0005910685;ILMN_1670816;ILMN_1749838	
GN000156353	PRAF2	0002350139;ILMN_1720578	
GN000875233	FAM86B3P	ILMN_3232161;ILMN_3232289;ILMN_3185453;ILMN_3233739	
GN000044002	ATRN	0000730044;ILMN_1772124;ILMN_2297205;ILMN_1678541	
GN000000233	ACADVL	0007050139;ILMN_2263466;ILMN_1806408;ILMN_2352009	
GN000009492	RNF2	0006200082;ILMN_1651715	
GN000087844	CCDC141	0006290324;0006770082;ILMN_1693711	
GN000065204	WBSCR17	0000730017;ILMN_1701557	
GN000049634	DGKG	0002060338;ILMN_1741960	
GN000002132	RNPEPL1	0100110440;0002760041;ILMN_1859769;ILMN_1694730	
GN000085309	SLC43A2	0002900138;ILMN_1787127	
GN000076469	ZFP2	0002680112;ILMN_1723886	
GN000049395	CA1	0002760097;ILMN_1652431	
GN000198905	TYRL	0002850537;ILMN_1788774	
GN000010726	IFNA5	0003390372;ILMN_1660195	
GN000003707	FLNA	0005890025;ILMN_1687335	
GN000080645	WFDC3	0000360348;0006550450;ILMN_2308903;ILMN_1673537;ILMN_1740415	
GN000049699	DOCK3	0006660154;ILMN_1712352;ILMN_1723440	
GN000164886	OVCH1	0001570400;ILMN_1681194	
GN000158365	ZNF8	0006770164;ILMN_1785379	
GN000001794	GOLT1B	0003290022;ILMN_1767837	
GN000159950	DUOX1	0002690053;ILMN_1690289;ILMN_2404182;ILMN_1664392	
GN000164566	CLDN23	0001660128;ILMN_1725338	
GN000158205	ST3GAL1	0006370332;0006400551;0006550035;ILMN_1683313;ILMN_1860638;ILMN_1674252;ILMN_2267135	
GN000049749	ELAVL4	0000450309;ILMN_2065254;ILMN_1857365;ILMN_1772762	
GN000000438	GTF3C3	ILMN_1789508	
GN000002174	ANKRA2	ILMN_1687351;ILMN_2185563	
GN000085719	TMEM196	0105890736;ILMN_1811849;ILMN_2125084	
GN000007273	TNK2	0004070064;ILMN_1772979;ILMN_1747358;ILMN_1754708;ILMN_1669703	
GN000298293	ARRDC5	0001660484;ILMN_2153787	
GN000162512	LOXL3	0004920358;ILMN_1733515	
GN000062425	C1orf106	0001240181;ILMN_1713952	
GN000051845	KDM4A	0006860056;ILMN_1690218;ILMN_1736650	
GN000160924	PYCRL	0004230068;ILMN_1686387	
GN000126887	SPATA45	0006020025;ILMN_1723568	
GN000049383	C1QA	0005550161;ILMN_1657181;ILMN_1737918	
GN000002343	CFB	0006370152;0003840056;ILMN_1710740	
GN000008513	SAP30	0001940369;ILMN_1700896	
GN000159959	MRPL39	0002680609;0006940671;ILMN_1777756;ILMN_1778730;ILMN_1726391	
GN000157349	ALCAM	0004050364;ILMN_1670870	
GN000157816	KCNQ1	0002650451;0004780537;0006840537;0002690152;ILMN_1688569;ILMN_2409520;ILMN_1806150;ILMN_1695480;ILMN_1656079	
GN000162081	STARD5	0004560056;0006900037;ILMN_1784364;ILMN_1783998;ILMN_1863110	
GN000079830	IL33	0002680292;ILMN_1809099;ILMN_2052924	
GN000002284	ZNF576	0005890465;ILMN_1687711	
GN000301816	MIR340	ILMN_3309494	
GN000158695	MPDU1	0002190136;ILMN_1655654	
GN000005501	PDLIM4	0107040278;0005670114;ILMN_1662888;ILMN_1663976	
GN000051902	SUSD6	0105360142;0100730397;0004200673;ILMN_1832772;ILMN_2226917;ILMN_1786779	
GN000109172	ANO5	0002970026;ILMN_1690154	
GN000159346	DENND5A	0001980411;ILMN_1785356;ILMN_3245413	
GN000616709	CASP16P	0000450253;ILMN_1789871	
GN000003755	RGS14	0007100538;ILMN_1696828	
GN000061959	NCAPG2	0004070132;ILMN_1669826	
GN000090188	LCN12	0003290286;ILMN_1769116;ILMN_2172933	
GN000162345	ASCC2	0006510601;ILMN_1679919	
GN000163691	CLRN3	0002760300;ILMN_2067408;ILMN_1775838	
GN000081942	C19orf52	0006860735;ILMN_1726181	
GN000085409	LYSMD4	0000050309;ILMN_1769658;ILMN_2159859	
GN000001090	DGKD	0007040286;0007040398;0005550040;ILMN_1655664;ILMN_1735301;ILMN_1765326	
GN000004748	AP2S1	0002970746;ILMN_1809957;ILMN_1662426	
GN000010294	CENPM	0002350446;ILMN_2368721;ILMN_2368718;ILMN_1668814;ILMN_1737788	
GN000052380	APLF;PROKR1	0003710563;0006900152;ILMN_1801047;ILMN_1873436;ILMN_1808597;ILMN_1704751;ILMN_3243695	
GN000004604	ADRBK1	0100360519;0003120273;ILMN_3307926;ILMN_1673330	
GN000076749	EEPD1	0006370647;ILMN_1811616	
GN000164305	FAM177A1	0005550181;0101090541;0101400148;ILMN_1763603;ILMN_2394438;ILMN_2287276	
GN000783103	MIR4449	ILMN_3238613	
GN000049612	CTNNA2	0006020397;0100630687;ILMN_1656169;ILMN_2197693;ILMN_1796901	
GN000160301	VEZT	0002680673;ILMN_2141398;ILMN_1774828	
GN000008454	PACSIN2	0101740324;0002450402;ILMN_1702396;ILMN_3307772	
GN000162158	DOCK8	0003870095;ILMN_1788931	
GN000002098	AGPAT4	0103120072;0005910538;ILMN_1732672;ILMN_1730504	
GN000003655	BID	0006200064;0006200338;ILMN_2372413;ILMN_1763386;ILMN_1744107;ILMN_2259495	
GN000043922	DTNA	0002260039;0005420731;0006650519;0102230497;ILMN_2394777;ILMN_1652549;ILMN_1730201	
GN000000804	PMAIP1	0006400484;ILMN_2098446	
GN000043715	RPL13A	0004920541;ILMN_1661107;ILMN_1743217;ILMN_2165762;ILMN_1682354;ILMN_1667609;ILMN_1713369	
GN000898193	AGAP9	0002260300;ILMN_1804337;ILMN_1667263	
GN000000816	PPP1R3C	0006660440;ILMN_1736670	
GN000159868	PLAC8	0000460195;ILMN_2093343;ILMN_1653026	
GN000090146	LEMD2	0002640280;ILMN_1680860	
GN000003515	NFKBIE	0002230722;ILMN_1717313	
GN000087991	N6AMT2	0002810168;ILMN_1730260	
GN000160830	PJA1	0006420358;0006840075;ILMN_1734810;ILMN_2373566;ILMN_1667261	
GN000003753	RETN	0004230091;ILMN_1675190	
GN000078001	GPR61	0004850121;ILMN_1671225	
GN000058316	FLRT3	0006220014;0002260446;ILMN_1782750;ILMN_1805665	
GN000003635	CASP3	0000540397;0002370091;ILMN_2388155;ILMN_1756787;ILMN_1731639	
GN000165226	ALKBH2	0007100180;ILMN_1690252	
GN000614558	TIAF1	ILMN_1669507	
GN000157781	ICT1	0000130632;ILMN_1734508;ILMN_2182198	
GN000160826	IRF2BPL	0006450286;ILMN_1804396;ILMN_1667815	
GN000159832	ZDHHC2	0001780242;ILMN_1769783	
GN000090099	BPIFA3	0006760026;ILMN_1752744;ILMN_2260933;ILMN_1699779	
GN000000571	GALE	ILMN_1714157;ILMN_1653765;ILMN_1792168;ILMN_1777523	
GN000063925	GPAM	0005050451;ILMN_1758213;ILMN_2178855	
GN000061912	NDE1	0005080524;ILMN_1739805	
GN000052065	TSPAN2	0000610014;ILMN_2186319;ILMN_1810093	
GN000079198	HSFY1	0002450372;0006840451;0003870440;ILMN_2291534;ILMN_1672935;ILMN_2291538;ILMN_2401946;ILMN_2288142;ILMN_1688833	
GN000004755	NCKIPSD	0001770215;ILMN_2382271;ILMN_1736623	
GN000613319	SPATA31A3	ILMN_3270493;ILMN_1788638	
GN000050572	PI3	0000780446;ILMN_1693192	
GN000164813	HTR3D	0003990450;ILMN_2093203	
GN000049328	ATP2B2	0001770369;ILMN_1802223;ILMN_2381938	
GN000160635	KLHL42	0000780025;ILMN_1727134	
GN000079690	LAMP3	0000430471;ILMN_2170814;ILMN_1719734;ILMN_2170813	
GN000006320	CCT6A	0004590176;ILMN_1719611;ILMN_1722502	
GN000298273	TRBV6-1	ILMN_1800588;ILMN_1795847	
GN000050777	RLN2	0002320435;0000050121;ILMN_1744887;ILMN_1748529	
GN000005641	VENTX	ILMN_1782352	
GN000006576	ETV5	0003190242;ILMN_1723260;ILMN_1739222;ILMN_1669756	
GN000085281	TMEM52B	0005080497;ILMN_1905447;ILMN_1727606;ILMN_1674184	
GN000008679	RPS14	0001170064;ILMN_1666635	
GN000160310	ZNF407	0004070128;ILMN_1741300;ILMN_2054827	
GN000162684	H2AFV	0000580500;0002810600;ILMN_1706784	
GN000008190	ERN1	0003940609;0002370079;0101190563;ILMN_1731231;ILMN_1698404;ILMN_1692064	
GN000049207	NAT2	0002940044;ILMN_1670903	
GN000158225	SLC7A1	0002100138;ILMN_1683859	
GN000003918	NFYA	0000670750;0001410373;ILMN_1690325;ILMN_1713726	
GN000162317	KREMEN1	0001850685;0000380301;0003360402;ILMN_1772697;ILMN_1700994;ILMN_1788936;ILMN_1803038;ILMN_1748007	
GN000001370	LYPLA1	ILMN_2099798;ILMN_1666713	
GN000001300	DNAJB6	0101500400;0006110333;0002640717;0004560358;ILMN_1793770;ILMN_1784665;ILMN_2402416;ILMN_1690844	
GN000159972	NLGN3	0002970041;ILMN_1759700	
GN000159172	SNF8	0002360082;ILMN_1766171	
GN000051766	SLC25A27	ILMN_1698726	
GN000080313	TAAR8	0000610338;ILMN_1772523	
GN000160726	ABRACL	0100770139;0003450397;ILMN_1720858	
GN000081706	BNIPL	0006450324;0005130008;0005130292;ILMN_1699989;ILMN_1711170;ILMN_1708513;ILMN_1773997	
GN000001628	ABTB2	0000520402;ILMN_1753370	
GN000547797	MIR149	ILMN_3308612	
GN000001580	SLC35A3	0003520170;ILMN_1653429	
GN000549187	SNORD111B	ILMN_3241848	
GN000160615	HEG1	0005420139;ILMN_1666122	
GN000156655	CTAGE5	0005570435;0106110592;0001660373;0005690750;ILMN_1754956;ILMN_3280359;ILMN_1662914;ILMN_1690880	
GN000085322	IZUMO2	0004540253;ILMN_1684854	
GN000003719	CD14	0000840750;ILMN_1740015;ILMN_2396444	
GN000163926	ZCCHC24	0003440162;ILMN_1754660	
GN000058463	KLK5	0002570064;ILMN_2264029;ILMN_2353054;ILMN_1718731	
GN000616516	SMCO2	0000450348;ILMN_1667216;ILMN_1680776	
GN000052262	SCGN	0003610300;ILMN_1687841;ILMN_1789648	
GN000158302	TMPO	0004050440;ILMN_1768816	
GN000116593	OR6C76	0001410594;ILMN_1651940	
GN000155605	MIR25	0006290292;ILMN_3309534;ILMN_3309059;ILMN_1663195	
GN000050503	PARN	0003850301;ILMN_1724811	
GN000007775	MAP3K12	0001400575;ILMN_1797189	
GN000163304	FMNL3	0000940398;ILMN_1692678;ILMN_1657955;ILMN_2395214	
GN000000169	COPB2	0004730180;ILMN_1684385	
GN000159839	GLRX5	0006040497;ILMN_1796165	
GN000078351	HOPX	0000770487;0001190176;ILMN_1766643;ILMN_1735570;ILMN_2316236;ILMN_1653751	
GN000050623	POLR2H	0000060092;ILMN_1689445	
GN000004239	DEAF1	0003060605;ILMN_1781040;ILMN_1658902;ILMN_1704045;ILMN_1773836;ILMN_2387784	
GN000163909	SNX33	0006350500;ILMN_1736093	
GN000164842	NXPE2	ILMN_3307688	
GN000090247	RSPO2	ILMN_1695108;ILMN_2081645	
GN000079629	FILIP1L	0000430441;0007050603;ILMN_2391150;ILMN_1738578;ILMN_1784407;ILMN_1730906	
GN000008373	IRX4	0004210154;ILMN_1763769	
GN000004176	SHOC2	0002690324;ILMN_2158242	
GN000159385	BAZ2A	0000050504;ILMN_1676318	
GN000058262	SCRIB	0005570152;0001580452;0004120537;ILMN_2324029;ILMN_1695181;ILMN_1726516	
GN000002410	HLA-DRA	ILMN_2157441;ILMN_1689655	
GN000000866	RFC1	0006510600;ILMN_1792986;ILMN_2217935	
GN000116464	OR13D1	0002480452;ILMN_1807924	
GN000297222	TMEM14EP	ILMN_1675560;ILMN_3236468	
GN000163201	PPP1R14B	ILMN_1659888	
GN000116436	OR13C8	0002360576;ILMN_1667388	
GN000049357	BCL7A	0001240358;ILMN_2378081;ILMN_1665996;ILMN_1706886;ILMN_1821024	
GN000163131	ZNF697	0003440131;0100670035;ILMN_3249501	
GN000062139	PRMT6	0002760102;ILMN_2234229;ILMN_1813834	
GN000003442	CCKAR	0002640014;ILMN_1656330	
GN000158752	AQR	ILMN_1892754;ILMN_2177460;ILMN_1717154	
GN000090544	GKN2	ILMN_1813688	
GN000001538	MSRB2	0007000300;ILMN_1745053;ILMN_1657977	
GN000163186	SPTSSA	0005720066;ILMN_1699676	
GN000000142	PPP4R1	0001660348;ILMN_1724544;ILMN_2345512	
GN000158940	PKDREJ	0006660603;ILMN_1673234	
GN000162084	CEP44	0003290064;ILMN_1731453;ILMN_2213199	
GN000116709	OR6C75	0006770161;ILMN_1737144	
GN000009291	TPT1	ILMN_2094718;ILMN_1789614;ILMN_1880628	
GN000158389	ZNF114	0000060451;ILMN_1746831;ILMN_2164290	
GN000080088	XKR4	0101340403;0006110576;ILMN_1661309	
GN000007408	CD34	0003390164;ILMN_1732799;ILMN_2257587;ILMN_1683479;ILMN_2341229;ILMN_1791426	
GN000000355	BMP4	0004210142;0001240348;0000610102;ILMN_1709734;ILMN_1693749;ILMN_1862835;ILMN_1740900	
GN000163789	AK8	0002690504;ILMN_1659914	
GN000109224	KRT39	ILMN_1760665	
GN000085411	GCOM1	ILMN_1660403;ILMN_2368145;ILMN_1693716;ILMN_1809511;ILMN_1675188;ILMN_1795702	
GN000062204	TMEM100	0006980609;ILMN_1698259	
GN000158401	ZNF200	0001980451;0000940022;ILMN_2376833;ILMN_1761965;ILMN_1809951	
GN000162123	OSBP2	0004920338;ILMN_1781966	
GN000051657	ZBED1	0003120465;ILMN_1694466	
GN000086022	LDHD	0005270722;0000870050;ILMN_1722771;ILMN_1657718;ILMN_2407346	
GN000162752	ZNF644	0000510711;ILMN_1730118;ILMN_1671048;ILMN_1657665	
GN000062434	ZNF839	0003850403;ILMN_2186858;ILMN_1777487	
GN000158567	FGF18	0001240100;0002450347;ILMN_1693483;ILMN_1797030	
GN000156259	WDR18	0006400358;ILMN_1694479	
GN000005739	SERPINF1	0004060204;ILMN_2141482;ILMN_1685078	
GN001040447	BECN2	ILMN_1744748;ILMN_1659073	
GN000163378	RIBC1	0002940692;ILMN_1768954;ILMN_1756880	
GN000157731	GYS2	0004050132;ILMN_1807745	
GN000001979	GPATCH2	0006590347;ILMN_1786036;ILMN_1831834	
GN000614419	STH	ILMN_1665311	
GN000004476	RPS6	0005700403;ILMN_1808939	
GN000160259	FBXL8	0006860086;ILMN_1682037	
GN000002193	DHX35	0005290411;ILMN_1733667	
GN000128191	ITPRIPL2	0001340372;ILMN_1751034;ILMN_2219246	
GN000043603	GLRA3	0004210100;ILMN_2354287;ILMN_1787085	
GN000043703	TPPP	0005670575;ILMN_1718687	
GN000082908	FBXL13	0004610538;ILMN_1791253	
GN000156432	KANK1	0006290746;0102630095;0004120044;0006290180;ILMN_1706031;ILMN_1773427;ILMN_1777727	
GN000085570	CCDC116	0005290010;ILMN_1743026;ILMN_1795085	
GN000062242	MNS1	0000940670;ILMN_2157240;ILMN_1711462	
GN000049286	AOX1	0003710193;ILMN_1767113	
GN000160321	GPATCH2L	0100870088;0003800176;0004050487;ILMN_1731269;ILMN_1905577;ILMN_1699091;ILMN_2265093	
GN000001013	ZNF222	0000780128;ILMN_1723253	
GN000001662	FGFR1OP2	0006130347;ILMN_1657436	
GN000002569	ALOX5	ILMN_1680996;ILMN_1792150;ILMN_1860008	
GN000159576	RNF11	0100430279;0007040440;ILMN_2168758;ILMN_1810785	
GN000158267	STX3	0003610088;ILMN_1659544	
GN000160700	CCNB1IP1	0006350403;0002100064;0005900524;ILMN_1752394;ILMN_2260833;ILMN_2347349;ILMN_1714386	
GN000000382	FBN2	0005340050;ILMN_1670899	
GN000616741	TCEB3CL2	0002100044;ILMN_3237069;ILMN_3237433;ILMN_1690705;ILMN_1802992	
GN000161975	RMI1	0004590600;ILMN_1754051;ILMN_2151488;ILMN_1668565	
GN000004682	ADAM17	0003850411;ILMN_1765779;ILMN_2121068	
GN000050427	NEU2	0002640601;ILMN_1752557	
GN000162631	ZC3H12C	0106860397;ILMN_3237956	
GN000163996	C14orf28	0001740168;ILMN_1807031	
GN000000759	OAZ2	0007050195;ILMN_1695985;ILMN_3239460	
GN000162052	DNAJC5	0003190538;ILMN_1789642;ILMN_1719709	
GN000003506	SYK	0003990546;ILMN_2059549;ILMN_1681350	
GN000161950	SYNPO2L	0001410068;ILMN_1690253	
GN000089155	OR8D1	0002450164;ILMN_1742753	
GN000297195	RPL31P11	ILMN_1745171	
GN000163728	OCIAD2	ILMN_1700306	
GN000158448	SLC7A5	0004540086;ILMN_1720373	
GN000003349	IL1R1	0002470528;ILMN_1810584	
GN000051911	RNF144A	0006420593;ILMN_3238326;ILMN_1777660;ILMN_1816374	
GN000000920	SH3BGRL	0001660398;ILMN_2081162;ILMN_1702835	
GN000160684	SLC7A14	0006650079;0002640372;ILMN_1809167;ILMN_1676602	
GN000002119	CASC5	0004570670;0002060195;ILMN_1715437	
GN000008488	RBPJ	0006520025;0006520148;0001170253;ILMN_1680866;ILMN_2316844;ILMN_1708537;ILMN_1726913	
GN000199068	LRRC37BP1	ILMN_1673601;ILMN_1753980;ILMN_1706248;ILMN_3245600	
GN000071014	MTHFSD	0000730377;ILMN_1797046	
GN000872731	YWHAB	0006900450;0004730725;ILMN_1694385;ILMN_1799494;ILMN_2277099	
GN000007757	SIAH1	0102060280;0005720184;ILMN_1802261;ILMN_1661161;ILMN_1888224;ILMN_2380566;ILMN_1711627;ILMN_2279413	
GN000160587	GJD2	0005420280;ILMN_1712396	
GN000303587	MIR1247	ILMN_3309448	
GN000165295	FAM69A	0004670452;ILMN_1682577;ILMN_3307791	
GN000298241	ANAPC10P1	ILMN_3227485;ILMN_3304086	
GN000051267	TUBA1A	0002350463;ILMN_2148819;ILMN_1742981	
GN000000752	NRCAM	0003940440;ILMN_1722809;ILMN_2411236	
GN000006509	ASAP2	0002850044;ILMN_3270972;ILMN_3194508;ILMN_1757237	
GN000158739	VGLL4	0104560086;0004850035;ILMN_1768480;ILMN_1714399;ILMN_1672125	
GN000162195	HDHD3	0006110064;ILMN_1726466	
GN000063147	ASAH2	ILMN_3242048;ILMN_1658602;ILMN_1800237;ILMN_1776129;ILMN_1780786	
GN000077452	TMEM163	0006180008;ILMN_1751901	
GN000127037	BOLA2	0001400411;ILMN_1810680;ILMN_3249676;ILMN_1782633;ILMN_1659343	
GN000298248	SNORD32A	ILMN_1661107;ILMN_1743217;ILMN_2165762;ILMN_1682354	
GN000157977	GPR143	0000060440;ILMN_1756261	
GN000301770	MIR299	ILMN_3310695	
GN000162932	RFFL	0004590068;ILMN_1743356;ILMN_1753819;ILMN_1664111;ILMN_1678010	
GN000002074	ZNF302	0101170398;0003940438;0003940332;ILMN_1652120;ILMN_2414254;ILMN_2307450	
GN000157382	ATOX1	0002900687;ILMN_1670609	
GN000085649	ARMC3	0106420390;0003850750;ILMN_3243057	
GN000000716	MYO1A	0005390112;ILMN_1704861;ILMN_1684031	
GN000157504	COL6A3	0007050452;ILMN_1706643;ILMN_2307861	
GN000079089	TMEM141	0006350358;ILMN_1663921;ILMN_1774066	
GN000159817	EGFL7	0004920309;ILMN_3308073	
GN000614711	KAZN	0000730427;0004610022;ILMN_1658187;ILMN_1813590;ILMN_1759842;ILMN_1770927;ILMN_2177823;ILMN_1798458;ILMN_1680399	
GN000117306	SHISA2	0002450070;0106760446;ILMN_1760412	
GN000548704	FOXI3	0003120121;ILMN_3245306	
GN000050230	LLGL1	ILMN_1798212	
GN000160785	MTBP	0003190170;ILMN_1660222	
GN000000563	FHL2	0001770017;0001580121;0004780142;ILMN_1678643;ILMN_2265783;ILMN_2355831;ILMN_1668411	
GN000002220	DCLRE1C	0001090056;ILMN_1678464	
GN000162007	CENPT	0003940139;ILMN_3238375;ILMN_1711110	
GN000000645	ITIH3	0001500019;ILMN_1757461	
GN000301240	RPS26P47	ILMN_2310703;ILMN_1750636	
GN000159487	TMEM87A	0001190465;ILMN_1716816	
GN000159775	NMD3	0004230403;ILMN_2232430;ILMN_1727348	
GN000165285	OR10V1	0005130408;ILMN_1759087	
GN000003127	F10	0005890056;ILMN_1670708	
GN000160061	ALKBH4	0000050397;ILMN_1805673	
GN000010865	POLI	ILMN_1702218	
GN000158491	HIST1H4D	0002190092;ILMN_1676580	
GN000063832	MUC20	ILMN_1653278	
GN000199321	TMEM75	0106200358;ILMN_2224765	
GN000156342	CELF3	0002360280;ILMN_1681234	
GN000050951	SNTA1	0003450301;ILMN_1753241	
GN000160553	NAV1	0003990528;0004810040;ILMN_1698832;ILMN_1703374	
GN000083131	CSNK1A1L	ILMN_2088785;ILMN_1671642	
GN000001178	ZMYM5	0000070280;ILMN_1781028;ILMN_2343036	
GN000000178	HNRNPH2	0004070280;ILMN_1781764;ILMN_2362245	
GN000078312	SLX4	0005860717;0006220148;ILMN_1732885	
GN000061238	SSUH2	0006940041;ILMN_1666731	
GN000000304	C8A	0006380427;ILMN_1710606;ILMN_1694659	
GN000159561	GNL3	ILMN_3243049;ILMN_3236052;ILMN_1790659	
GN000116413	OR5L2	0006420164;ILMN_2198850;ILMN_1708583	
GN000050472	OPRL1	0006400309;0006400068;ILMN_2400926;ILMN_1698229;ILMN_1713758;ILMN_2400922	
GN000160184	WDR60	0000460139;ILMN_1793290	
GN000051674	IL32	0001400670;ILMN_2368530;ILMN_1778010	
GN000008040	ITGA9	0002120286;ILMN_1813117	
GN000077702	OR5W2	0003130673;ILMN_1757164	
GN000049273	AMY1C	0005390438;ILMN_2094261;ILMN_1719031;ILMN_2094262;ILMN_2408219	
GN000057438	STON1	0102470093;0006590148;ILMN_1668592;ILMN_1770385	
GN000614560	OCLM	0006040397;ILMN_1668899	
GN000061451	NT5DC3	0007050176;ILMN_1756049;ILMN_1774281	
GN000163541	SLC15A4	ILMN_1679731	
GN000006708	ZNF542P	ILMN_1793841	
GN000159148	ADAMTS8	0003450736;ILMN_1672403;ILMN_1663112	
GN000004969	CLOCK	0000380253;ILMN_1682399;ILMN_1869087	
GN000001258	SNX17	0003170253;ILMN_1732810	
GN000049755	DMTN	0002470193;ILMN_1671686	
GN000001860	HEMK1	0001170609;ILMN_1731014	
GN000001761	SERTAD3	0003440603;0000060014;ILMN_1813955;ILMN_1804502;ILMN_1801934;ILMN_1861345	
GN000081566	KCNG3	0000580372;ILMN_1799177;ILMN_2335319;ILMN_2377957	
GN000004843	ADCY1	0001660079;ILMN_2120555;ILMN_1742073	
GN000003177	SNW1	0007100164;ILMN_1688413	
GN000000744	CNOT4	0006660707;ILMN_1735959;ILMN_1794324;ILMN_1772677	
GN000159781	KLHL5	0001450066;ILMN_2258234;ILMN_1706687	
GN000154040	CTLA4	0005420092;ILMN_1763487;ILMN_2261627;ILMN_2348905	
GN000155588	MIR196A1	ILMN_3308881	
GN000159053	EDDM3A	0006040673;ILMN_1755674	
GN000105591	ABCA4	0004070300;ILMN_1794965	
GN000157397	ATP6V0A1	0001780195;ILMN_1752579	
GN000160503	SMARCAD1	0001570692;ILMN_1741976	
GN000003659	BAK1	0006350438;ILMN_1805990	
GN000162138	CDADC1	0003710022;ILMN_1763878	
GN000050666	PRKAR1B	0006620377;ILMN_3246219;ILMN_1674390	
GN000616725	SMIM10	ILMN_1683828	
GN000050460	OCA2	0002640707;ILMN_1746116	
GN000163359	ZNF599	0000940279;ILMN_1687141;ILMN_1664928	
GN000162419	MSANTD4	0003990520;ILMN_1801124	
GN000059229	PCOLCE2	0005670113;ILMN_1746888	
GN000003288	TYROBP	0002940438;ILMN_1778977	
GN000049959	GPR21;RABGAP1	0004810451;0006020348;ILMN_1789696;ILMN_1724438;ILMN_2061950	
GN000124401	ACER2	0003830400;ILMN_3235340;ILMN_1679737;ILMN_1761000	
GN000001460	TOMM34	0005690672;ILMN_1721128	
GN000007653	FGF2	0000520546;ILMN_1744693;ILMN_2105919	
GN000043386	BTBD2	0000940671;ILMN_1701660;ILMN_3238274	
GN001044919	GSG1L2	ILMN_3203361	
GN000157855	LOXL2	0000670215;ILMN_1656802	
GN000050128	ITPK1	0000050750;0100940377;ILMN_1715674	
GN000159814	VGLL3	0004210538;0003610619;ILMN_1714586	
GN000044022	SRSF10	0002320458;0000070059;ILMN_1810567;ILMN_2265082;ILMN_2354649;ILMN_1664522;ILMN_1768349;ILMN_1677162	
GN000076020	PRR14	0002510068;ILMN_1745329	
GN000051032	TBXAS1	0004850632;0000510441;0003440672;ILMN_1670808;ILMN_1713036;ILMN_2282641	
GN000001797	TXNDC12	0001690440;ILMN_1783753	
GN000085903	SYT14	0005860097;ILMN_2181670;ILMN_1651234	
GN000002475	CSF3	0003940450;0002100725;ILMN_1697069;ILMN_1655639;ILMN_1706852;ILMN_2322768	
GN000897894	DUX4L4	ILMN_1749546;ILMN_1714477	
GN000156267	SACM1L	0001090021;0104230204;ILMN_1765019	
GN000002163	ALS2	0006420446;ILMN_1750256	
GN000063866	BAHCC1	0001770427;0102320377;ILMN_3242544	
GN000162537	MINA	0000870239;ILMN_2322986;ILMN_1689624	
GN000303331	MIR760	ILMN_3310055	
GN000199493	RELL1	ILMN_3226955;ILMN_3233176	
GN000159860	GCNT4	0007050369;ILMN_3236182;ILMN_1742065	
GN000004751	DYRK1A	0006400168;0005390053;0005890463;ILMN_1794156;ILMN_2374293;ILMN_1807735;ILMN_1660663;ILMN_1664560;ILMN_1819251	
GN000077857	CRISPLD2	0005080647;ILMN_1790689	
GN000157453	ADGRE5	0103520672;0005360059;0002230092;ILMN_2413508;ILMN_1676718;ILMN_1673363	
GN000001790	PRELID3B	0002680398;ILMN_3240893;ILMN_1728168;ILMN_1803522	
GN000165431	TRIM71	0006220500;ILMN_1714774;ILMN_1828120;ILMN_2225061;ILMN_1912162	
GN000110814	OR52N5	0006520075;ILMN_1794767	
GN000051397	CUL4B	0005080047;ILMN_2385161;ILMN_1691535	
GN000058452	SOGA1	0101500288;0002970148;ILMN_1917063;ILMN_1727920;ILMN_1687073;ILMN_1693004	
GN000158654	NREP	0000110110;0106520253;ILMN_1680738	
GN000050851	SCN10A	0005720278;ILMN_1801666	
GN000163010	SYCE1	0004610601;0003850082;ILMN_1791356;ILMN_3307178;ILMN_1773168	
GN000164259	FAM117B	ILMN_1739942;ILMN_3244607	
GN000162160	TIGD6	0006980519;ILMN_1703984	
GN000199084	PPP1R2P3	0100450114;ILMN_2045610	
GN000158379	ZNF397	0002640091;0102030433;0106200132;ILMN_1685467	
GN000163231	CD200R1	ILMN_1750003;ILMN_2408112	
GN000199020	SNORD38B	ILMN_1741944	
GN000007789	DKK1	0000510427;ILMN_2174189;ILMN_1773337	
GN000008400	LTBR	0001990026;ILMN_1667476	
GN000163930	C10orf67	0002060026;ILMN_1719577	
GN000156642	PTP4A1	0001740575;ILMN_2154654;ILMN_3200189;ILMN_3277082;ILMN_1760575	
GN000080084	PLIN4	0103610162;0000110273;ILMN_1852022	
GN000160350	PRR11	ILMN_1782403	
GN000153950	ZNF57	0006200133;ILMN_1691333	
GN000078086	OTP	0003440333;ILMN_1752662;ILMN_1659270	
GN000043250	GPSM3	0001190068;ILMN_1662799	
GN000050916	SLC8A3	0001240102;0002120504;0001450348;ILMN_1770987;ILMN_1712023;ILMN_1696056	
GN000163303	SPOCD1	0000360114;0103610112;ILMN_1784948	
GN000050564	PGM2	0005720041;ILMN_1673543	
GN000082797	MARVELD2	0003140600;ILMN_2293744;ILMN_1711124;ILMN_2406267	
GN000159375	CAPN7	ILMN_2117642	
GN000000108	KNTC1	0002190520;ILMN_1732516	
